# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce 8800 GT
# CUDA_PROFILE_CSV 1
timestamp,method,gputime,cputime,regperthread,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent
2123790.250,_Z17pole_learn_kerneljj,83421.789,83437.719,21,0.333,524544,1771698,0,5230552
2207334.000,_Z23pole_clear_trace_kernelv,12.480,477.257,3,0.667,0,0,0,2688
2207890.500,_Z17pole_learn_kerneljj,83298.531,83312.453,21,0.333,524544,1771823,0,5231408
2291282.750,_Z23pole_clear_trace_kernelv,11.936,564.313,3,0.667,0,0,0,2688
2291920.500,_Z17pole_learn_kerneljj,83566.594,83965.617,21,0.333,1049088,3543396,0,10509416
2375962.750,_Z23pole_clear_trace_kernelv,12.128,597.682,3,0.667,0,0,0,2688
2376641.500,_Z17pole_learn_kerneljj,83492.031,83892.391,21,0.333,1049088,3542971,0,10490576
2460607.250,_Z23pole_clear_trace_kernelv,12.608,517.756,3,0.667,0,0,0,2688
2461199.250,_Z17pole_learn_kerneljj,83225.469,83240.328,21,0.333,524544,1771848,0,5225696
2544513.500,_Z23pole_clear_trace_kernelv,12.512,513.483,3,0.667,0,0,0,2688
2545100.750,_Z17pole_learn_kerneljj,83592.867,83607.086,21,0.333,524544,1771648,0,5205352
2628833.750,_Z23pole_clear_trace_kernelv,12.448,463.762,3,0.667,0,0,0,2688
2629381.500,_Z17pole_learn_kerneljj,83349.188,83364.000,21,0.333,524544,1771598,0,5256472
2712831.000,_Z16pole_test_kernelPf,34842.945,35333.961,18,0.500,8389120,9600,0,25088
3030771.500,_Z13row_reductionPfiii,6.016,239.961,6,0.667,0,16,0,4
3031135.750,_Z13row_reductionPfiii,4.320,36.055,6,0.167,0,0,0,0
3031258.250,memcpyDtoH,4.256,24.048
